laura;19;10/06/2026;19:26:58
laura;69;10/06/2026;19:27:15
laura;21;10/06/2026;20:11:05
laura;51;10/06/2026;20:11:21
lau;247;10/06/2026;20:12:02
laura;67;10/06/2026;20:14:49
l;208;10/06/2026;20:42:15
l;182;10/06/2026;20:43:09
lau;114;10/06/2026;21:05:30
teste;19;HH/MM/SS;HH:MM:SS
